	id	title	all_artists	popularity	release_date	genre	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
127	2hE5Lm5XOHR4t3xlhIFauP	Fooled Around And Fell In Love	Elvin Bishop	64	1975-01-01	{'southern rock', 'country rock'}	0.633	0.621	10	-11.494	1	0.042	0.0172	0.186	0.593	113.325	276000	3
128	1cXc92MX9kFjMrrDsvdf9w	Wang Dang Doodle	Koko Taylor	53	1987-01-01	{'blues', 'chicago blues', 'electric blues', 'traditional blues'}	0.648	0.544	1	-8.963	1	0.343	2.93e-06	0.087	0.619	153.063	182827	4
129	7IgYUzuv1g95q1WsexzCwQ	Bathroom Mirror / You're Coming Right?	Justin Hurwitz	38	2016-12-09	{'hollywood', 'movie tunes'}	0.714	0.427	1	-15.378	0	0.31	0.868	0.314	0.54	127.651	82813	4
130	0gMYjcuAwOcCBGruZqj14t	Illusory Motion	Elder	36	2019-07-12	{'progressive doom', 'post-metal', 'sludge metal', 'stoner rock', 'stoner metal', 'modern hard rock', 'boston metal'}	0.311	0.619	3	-9.076	1	0.0377	0.894	0.109	0.241	79.92	593387	4
131	09cd8ns02cqsEEkKRMOWOt	Im Morgengrauen	Elder	28	2019-07-12	{'progressive doom', 'post-metal', 'sludge metal', 'stoner rock', 'stoner metal', 'modern hard rock', 'boston metal'}	0.42	0.606	2	-9.531	1	0.0825	0.937	0.111	0.0398	109.933	324533	4
132	5ihS6UUlyQAfmp48eSkxuQ	Landslide	Fleetwood Mac	80	1975-07-11	{'soft rock', 'classic rock', 'album rock', 'yacht rock', 'rock'}	0.414	0.161	7	-22.32	0	0.883	0.000223	0.117	0.423	159.375	199493	4
133	05XfD1AQfsViO7yaaLcxZM	Get to Me	Train	40	2003-06-03	{'dance pop', 'pop rock', 'neo mellow', 'pop'}	0.55	0.83	5	-6.333	1	0.00137	1.02e-06	0.143	0.583	172.022	245440	4
134	3h0NvxPV2wiENW2ieih9DL	When I Look to the Sky	Train	48	2003-06-03	{'dance pop', 'pop rock', 'neo mellow', 'pop'}	0.506	0.663	0	-3.972	1	0.086	0.0	0.118	0.498	80.299	244640	4
135	1ptf0DYhMQKwJzEF7D3asc	III	Elder	31	2011-09-06	{'progressive doom', 'post-metal', 'sludge metal', 'stoner rock', 'stoner metal', 'modern hard rock', 'boston metal'}	0.456	0.76	0	-5.978	0	0.00173	0.961	0.118	0.226	133.952	523398	3
136	2pzPIvmSIZY9iArMiNgmWB	How to Be Me	CHINCHILLA	0	2019-12-25	{'brighton indie'}	0.456	0.207	1	-9.711	0	0.9	0.0	0.122	0.325	179.559	228000	3
137	0s1aSsYlLIEiy16LjFWbdp	Dirty Work	Steely Dan	2	1972-01-01	{'soft rock', 'country rock', 'classic rock', 'album rock', 'mellow gold', 'yacht rock', 'folk rock', 'rock'}	0.631	0.354	1	-11.112	1	0.795	0.000107	0.0879	0.522	73.007	188693	4
138	6s0NHplywwr1IjnQpUpWJk	Bad To The Bone	George Thorogood & The Destroyers	72	1982-01-01	{'heartland rock', 'country rock', 'classic rock', 'album rock', 'mellow gold', 'blues rock', 'hard rock', 'rock'}	0.459	0.727	0	-11.777	1	0.00614	0.0652	0.384	0.955	149.231	292173	1
139	5m8gFV8hXan4DmvzUEAczI	Organs	Of Monsters and Men	36	2015-06-09	{'folk-pop', 'modern rock', 'metropopolis', 'stomp and holler'}	0.463	0.123	7	-12.562	0	0.928	1.44e-06	0.136	0.259	136.618	271560	4
140	24eQ0KNvk3JVnmfvTOhCdF	Ahay	Of Monsters and Men	45	2019-07-26	{'folk-pop', 'modern rock', 'metropopolis', 'stomp and holler'}	0.533	0.697	8	-7.655	1	0.0123	0.000333	0.0999	0.396	168.153	176187	4
141	2AqCyqDUkb4090o1jnbL0N	Róróró	Of Monsters and Men	45	2019-07-26	{'folk-pop', 'modern rock', 'metropopolis', 'stomp and holler'}	0.64	0.691	6	-6.062	0	0.0185	0.00103	0.0914	0.603	95.002	261333	4
